name,review-count,cuisines,cost for 2,timings,rating
Empire Restaurant,1266 reviews,"North Indian, South Indian, Kerala",₹600,11 AM to 12:45 AM,3.8
Big Brewsky,2552 reviews,"Finger Food, North Indian, Italian, Continental, Thai, South Indian","₹1,800","12:30 PM to 11:30 PM (Mon-Thu, Sun), 12:30 PM to 1 AM (Fri-Sat)",4.9
Truffles,3658 reviews,"American, Burger, Cafe",₹900,12 Noon to 10:30 PM,4.7
Toit,3969 reviews,"Italian, American, Pizza","₹2,000","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.6
Kota Kachori,516 reviews,"Street Food, North Indian",₹400,8 AM to 10 PM,4.0
Prost Brew Pub,1459 reviews,"American, Continental, North Indian","₹1,800","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.0
Meghana Foods,1704 reviews,"Biryani, Seafood, Andhra",₹750,"12 Noon to 4 PM, 7 PM to 11 PM",4.0
Zaitoon,334 reviews,"Arabian, North Indian, Mughlai, Chinese",₹800,12 Noon to 11:30 PM,3.9
Onesta,1818 reviews,"Pizza, Cafe, Italian",₹600,"12:30 PM to 10 PM (Mon-Fri), 12 Noon to 10 PM (Sat-Sun)",4.1
Burger King,780 reviews,"American, Fast Food, Burger",₹500,11 AM to 11 PM,4.1
Brewsky,1151 reviews,"Continental, American","₹1,600","12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 12:45 AM (Fri-Sat)",3.8
Onesta,482 reviews,"Pizza, Cafe, Italian",₹600,12:30 PM to 11 PM,4.1
Smoke House Deli,1770 reviews,"European, Italian, Desserts","₹1,500",9 AM to 1 AM (Mon-Sun),4.3
The Fatty Bao - Asian Gastro Bar,985 reviews,Asian,"₹2,400","12 Noon to 3 PM, 7 PM to 11:30 PM (Mon, Tue, Wed, Thu, Sun), 7 PM to 12 Midnight (Fri),12 Noon to 3 PM, 7 PM to 12 Midnight (Sat)",4.5
Moriz Restaurant,306 reviews,"North Indian, Chinese, Seafood, Biryani",₹600,11:30 AM to 11:30 PM,2.7
Kapoor's Cafe,1132 reviews,North Indian,₹650,"10 AM to 3:30 PM, 7 PM to 11 PM (Mon-Fri), 10 AM to 4 PM, 7 PM to 11 PM (Sat-Sun)",4.1
Fattoush,235 reviews,"Arabian, North Indian, Chinese",₹900,12 Noon to 11 PM,3.9
Bundar,289 reviews,"Cafe, Burger",₹550,11 AM to 11 PM,4.0
Whooppeezz,306 reviews,Pizza,₹500,"11 AM to 11:30 PM (Mon-Fri, Sun), 12 Midnight to 1:01 AM, 11:01 AM to 12 Midnight (Sat)",3.8
Three Dots & A Dash,573 reviews,"European, Continental","₹1,300",12 Noon to 1 AM (Mon-Sun),4.0
Zaitoon,581 reviews,"Arabian, North Indian, Mughlai, Chinese",₹800,12 Noon to 11:30 PM,3.8
Murli,310 reviews,"North Indian, Chinese, South Indian, Street Food, Mithai",₹500,"9 AM to 11 PM (Mon-Fri), 8 AM to 11 PM (Sat-Sun)",3.6
Connie's Restaurant & Steakhouse,428 reviews,"Steakhouse, Continental, Burger, American, BBQ, European","₹1,500","11 AM to 11 PM (Mon-Fri), 9 AM to 11 PM (Sat-Sun)",4.3
Om Made Cafe,944 reviews,"Continental, Italian, Cafe, European","₹1,500",12 Noon to 11 PM,3.8
FreshMenu,342 reviews,"Continental, Mediterranean, Salad, Fast Food",₹500,11:30 AM to 10:30 PM,3.8
