name,review-count,cuisines,cost for 2,timings,rating
Zaitoon,538 reviews,"Arabian, Biryani, Mughlai, Chinese, North Indian",₹800,11:30 AM to 11:30 PM,3.5
Prems Graama Bhojanam,531 reviews,South Indian,₹300,"12 Noon to 3 PM, 7 PM to 10 PM",4.8
Shaack,334 reviews,"Continental, Thai, Malaysian, Chinese, Vietnamese, Italian, Seafood, South Indian","₹1,000",12 Noon to 4 AM,3.8
Paradise,331 reviews,"North Indian, Biryani",₹500,"11:30 AM to 5 PM, 7 PM to 11 PM",3.5
Zaitoon,632 reviews,"Arabian, Biryani, Mughlai, Chinese, North Indian",₹800,11:30 AM to 11:30 PM,3.8
Savoury Sea Shell,531 reviews,"Arabian, Chinese, North Indian, Biryani, Kerala",₹800,11:30 AM to 11:30 PM,3.9
Brick House Bistro,347 reviews,"American, Burger",₹600,12 Noon to 1 AM (Mon-Sun),4.0
Pantry d'or,666 reviews,"Continental, Burger, Cafe, Desserts, Italian, Pizza, Bakery, Salad",₹750,"10 AM to 11 PM (Mon-Thu), 8:30 AM to 11 PM (Fri-Sun)",4.4
Kipling Cafe,455 reviews,"Cafe, Thai, Continental, Italian","₹2,400","Mon-Fri (12 Noon to 10:30 PM), Sat-Sun (12 Noon to 11 PM)",3.7
Copper Kitchen,241 reviews,"North Indian, Chinese, South Indian, Arabian, Biryani, Mughlai, Seafood",₹800,11 AM to 11 PM,3.8
Double Roti,877 reviews,"Cafe, American, Fast Food, Burger","₹1,000",12:30 PM to 10:30 PM,4.3
Wangs Kitchen,155 reviews,Chinese,₹750,11:30 AM to 10:30 PM,3.5
Basil With A Twist,566 reviews,"Continental, Mediterranean, Cafe, Spanish, Italian, Pizza, European, Steakhouse","₹1,500","12 Noon to 11 PM (Mon-Fri),11 AM to 11 PM (Sat-Sun)",4.4
Royal Sandwich Shop,351 reviews,Fast Food,₹200,"9:30 AM to 9:30 PM (Mon-Thu, Sat), 11 AM to 12 Noon, 2:30 PM to 9 PM (Fri), Sun Closed",4.6
Copper Kitchen,199 reviews,"North Indian, Chinese, South Indian, Arabian, Biryani, Mughlai, Seafood",₹800,11 AM to 11 PM,3.8
Rasavid,320 reviews,"North Indian, Chinese, Biryani",₹800,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.5
Downtown Cafe,242 reviews,"Continental, Burger, Cafe, Desserts, Italian",₹800,"11 AM to 11:30 PM (Mon-Sat), 9 AM to 11:30 PM (Sun)",4.1
Sangeetha Veg Restaurant,281 reviews,"North Indian, South Indian, Chinese",₹450,7 AM to 10:30 PM,3.9
Zaitoon,273 reviews,"Arabian, Biryani, Mughlai, Chinese, North Indian",₹800,12 Noon to 11:30 PM,3.8
AB's - Absolute Barbecues,2183 reviews,"North Indian, European, Mediterranean","₹1,600","12 Noon to 2:45 PM, 6:30 PM to 10 PM",4.6
Mexicano Griller,689 reviews,"Mexican, Continental",₹800,"7 AM to 10 AM, 11 AM to 11 PM (Mon-Sun)",3.9
That Madras Place,776 reviews,"European, Italian, Desserts",₹800,12 Noon to 9:30 PM,4.1
Mathsya,299 reviews,"South Indian, North Indian",₹450,7 AM to 1:30 AM,4.0
Palmshore,183 reviews,"North Indian, Chinese, Arabian, Seafood, Biryani, Mughlai, South Indian",₹850,11:30 AM to 11:30 PM,3.8
Aasife & Brothers Biriyani Centre,190 reviews,"North Indian, Chinese, Seafood, Biryani",₹600,11 AM to 11 PM,2.5
Coal Barbecues,450 reviews,"North Indian, Mediterranean, Asian, Arabian","₹1,400","12 Noon to 3:30 PM, 6:30 PM to 11 PM",4.1
Cream Stone,375 reviews,Ice Cream,₹350,11 AM to 1:30 AM,4.3
Olive and Basil,292 reviews,"Thai, Chinese, Continental",₹600,"11 AM to 3:30 PM, 7 PM to 11 PM",3.9
Jonah's Bistro,521 reviews,Italian,"₹1,000",11 AM to 12 Midnight,4.2
Palmshore,247 reviews,"North Indian, Chinese, Arabian, Seafood, Biryani, Mughlai, South Indian",₹850,11:30 AM to 11:30 PM,3.6
LunchPI,102 reviews,"North Indian, Chinese, Continental",₹400,"11:30 AM to 3:30 PM, 6:30 PM to 9:30 PM (Mon),11:30 AM to 3:30 PM, 6:30 PM to 10:30 PM (Tue-Sun)",4.4
L'amandier,700 reviews,"European, Cafe, Italian","₹1,200",7:30 AM to 11 PM (Mon-Sun),4.1
Cleo's Grill & Cafe,221 reviews,"Continental, Cafe, Desserts, Charcoal Grill, North Indian, Chinese, Ice Cream, Steakhouse","₹1,200","12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.8
Eagle Boys Pizza,145 reviews,Pizza,₹600,11 AM to 11 PM,3.5
New Yorker,311 reviews,"American, Italian, Mexican, North Indian, Pizza","₹1,200","12 Noon to 3 PM, 7 PM to 11 PM (Mon-Sat), 12 Noon to 11 PM (Sun)",3.7
Mid Street,209 reviews,"Street Food, Fast Food, Cafe, Ice Cream",₹350,11 AM to 11 PM,3.8
Kabab Corner,314 reviews,"North Indian, Mughlai",₹450,5 PM to 11 PM,4.5
Fusilli Reasons,680 reviews,Italian,₹300,"5 PM to 10:45 PM (Mon), 12:30 PM to 10:45 PM (Tue-Sun)",4.6
Maplai,573 reviews,"South Indian, Chettinad","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",3.7
Bombay Brasserie,336 reviews,North Indian,"₹1,200","12 Noon to 3:30 PM, 7 PM to 11:30 PM",4.5
Animal Kingdom,915 reviews,"North Indian, Chinese, Continental, Thai, South Indian","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",3.8
Zaica,311 reviews,"North Indian, Mughlai",₹900,"12:30 PM to 3:30 PM, 7 PM to 11:30 PM",3.5
Bombay Brasserie,749 reviews,North Indian,"₹1,200","12 Noon to 3:30 PM, 7 PM to 11:30 PM",4.5
Pind,1054 reviews,"North Indian, Chinese",₹900,"11:30 AM to 3:30 PM, 7 PM to 11:30 PM",3.9
Ciclo Cafe,490 reviews,"Continental, Burger, Cafe, Italian, Pizza","₹1,100","11 AM to 11 PM (Mon-Sat), 8 AM to 11 PM (Sun)",4.0
Dindigul Thalappakatti,182 reviews,"Biryani, Chinese, North Indian, South Indian",₹650,"11:30 AM to 4 PM, 6:30 PM to 11 PM",3.3
Lloyd's Tea House,437 reviews,"Cafe, Italian, European, Asian","₹1,200","12 Noon to 11 PM (Mon-Thu),11 AM to 11 PM (Fri-Sun)",4.1
