name,review-count,cuisines,cost for 2,timings,rating
Cafe Goodluck,1751 reviews,"North Indian, Fast Food",₹600,7 AM to 11 PM,3.8
Satguru's Punjabi Rasoi,244 reviews,"North Indian, Chinese",₹600,"8 AM to 4 PM, 7 PM to 11 PM",3.5
Desi Aroma,432 reviews,"Mughlai, Biryani, North Indian",₹800,"12 Noon to 3 PM, 7 PM to 11 PM",3.7
NH 37 Dhaba,644 reviews,"Chinese, North Indian, Bengali","₹1,200","12 Noon to 11 PM (Mon-Thu),12 Noon to 11:30 PM (Fri-Sun)",3.9
Uncle's Chinese,500 reviews,"Chinese, Thai",₹700,11:30 AM to 11 PM,3.9
Le Plaisir,1188 reviews,"European, Desserts","₹1,000","9 AM to 9:45 PM (Tue-Sun), Mon Closed",4.9
Malaka Spice,1319 reviews,"Malaysian, Thai, Vietnamese, Japanese, Korean, Asian","₹2,000",11:30 AM to 11:30 PM,4.4
Where Else Cafe,543 reviews,"American, Continental, Cafe, Parsi",₹800,9:30 AM to 11 PM,4.0
Central Perk 7,437 reviews,"Fast Food, Steakhouse",₹700,"11 AM to 4 PM, 6:30 PM to 11 PM",4.0
Tales & Spirits,385 reviews,"Italian, Continental, Healthy Food, Cafe",₹800,11 AM to 11:30 PM,4.1
German Bakery,1485 reviews,"German, Italian, Cafe, Bakery","₹1,100",7:45 AM to 11:45 PM,4.0
Malaka Spice,491 reviews,"Malaysian, Vietnamese, Indonesian, Thai, Chinese, Asian","₹1,500",11:30 AM to 11:30 PM,4.3
Chopsticks Spice Malabar,348 reviews,"Kerala, North Indian, Chinese",₹600,12 Noon to 11 PM,3.8
Delhi Kitchen,293 reviews,"North Indian, Biryani",₹800,"12 Noon to 3 PM, 6:30 PM to 11 PM",3.7
Deccan Harvest,152 reviews,"North Indian, Continental, Chinese","₹1,100",11:30 AM to 12 Midnight,2.6
Falahaar,257 reviews,"Fast Food, Beverages",₹600,11 AM to 11 PM,4.1
Frozen Monkey,1409 reviews,"Italian, Continental, Finger Food","₹1,200","2 PM to 11:30 PM (Mon-Fri), 12:30 PM to 11:30 PM (Sat-Sun)",4.0
Vohuman Cafe,1034 reviews,Cafe,₹250,7 AM to 6 PM,4.6
Tim Luck Luck,509 reviews,"North Indian, Chinese, Seafood","₹1,000","11 AM to 3 PM, 7 PM to 11:45 PM",2.7
The K Factory,452 reviews,"Italian, French, North Indian, Continental",₹800,"3 PM to 11:30 PM (Mon),12 Noon to 11:30 PM (Tue-Sun)",4.3
Prem's,722 reviews,"North Indian, Chinese, Continental","₹1,300",8 AM to 1 AM,3.8
Bubsterr's,275 reviews,"Fast Food, Pizza",₹600,12 Noon to 11:30 PM,4.1
Effingut Brewerkz,656 reviews,"Continental, North Indian, Mughlai, Burmese","₹2,100",1 PM to 1:30 AM,4.3
Kimling,411 reviews,"Chinese, Seafood","₹1,200","12 Noon to 3:15 PM, 7 PM to 11:15 PM (Mon-Fri), 12 Noon to 11:15 PM (Sat-Sun)",3.7
11 East Street Cafe,1072 reviews,"Continental, North Indian, Seafood, Cafe","₹1,800",11:45 AM to 12 Midnight,3.9
The Burger House,509 reviews,"American, Fast Food, Burger",₹400,10:30 AM to 11:30 PM,3.5
The Little Next Door,483 reviews,"Finger Food, Italian, Spanish","₹1,250",5 PM to 12:30 AM,4.0
Chang's,485 reviews,Chinese,"₹1,000",12 Noon to 11:30 PM,3.8
Burger King,389 reviews,"American, Fast Food, Burger",₹600,11 AM to 11 PM,3.6
Copa Cabana,1284 reviews,"Chinese, Continental, Japanese, Mexican, Italian, North Indian","₹2,000","11 AM to 3:30 PM, 7 PM to 11:30 PM",4.1
Upsouth,619 reviews,South Indian,₹400,11 AM to 11 PM,3.9
Mad House Grill,345 reviews,"Continental, Steakhouse","₹1,300","11:30 AM to 11:30 PM (Mon), 7:30 AM to 11:30 PM (Tue-Sun)",3.8
Apache High Street,894 reviews,"Finger Food, Continental","₹1,000",11:30 AM to 11:30 PM,4.0
Cafe 1730,621 reviews,"European, Continental, North Indian, Goan","₹2,000",8 AM to 12 Midnight,4.0
Arthur's Theme,863 reviews,"European, Italian","₹1,300",11:30 AM to 11:30 PM,4.3
German Bakery Wunderbar,834 reviews,"Italian, German, Continental","₹1,000",8 AM to 11:30 PM,4.0
Dario's,825 reviews,"Italian, Cafe, Salad, Healthy Food","₹1,500",8 AM to 11:30 PM,4.2
"Incognito - Restaurant, Bar & Cafe",446 reviews,"European, Mediterranean, North Indian, Asian","₹1,500",11:30 AM to 11:30 PM,4.2
Kargo,70 reviews,"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",₹900,"7 PM to 11:30 PM (Mon), 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Tue-Sun)",4.2
Marrakesh,650 reviews,"Lebanese, Mediterranean, Mughlai",₹650,11 AM to 11 PM,3.7
